證券代號,證券名稱,公司名稱,資本額,成立日期,上市日期,收盤價,殖利率,股利年度,本益比,淨值比,財報年/季,成交價
1423,利華,利華羊毛工業股份有限公司,9.96,1970/01/01,1979/04/02,41.60,8.65,114,9.54,1.13,114/4,41.60
1432,大魯閣,大魯閣實業股份有限公司,10.8,1970/01/01,1982/07/26,16.85,11.87,114,2.79,1.09,114/4,16.85
1436,華友聯,華友聯開發股份有限公司,19.42,1970/01/01,1988/04/11,49.95,10.11,114,9.97,1.49,114/4,49.95
1442,名軒,名軒開發股份有限公司,36.62,1970/01/01,1989/11/16,26.20,9.16,114,8.65,1.2,114/4,26.20
1446,宏和,宏和精密紡織股份有限公司,13.77,1970/01/01,1991/10/15,15.80,9.49,114,9.75,0.78,114/4,15.80
2371,大同,大同股份有限公司,215.08,1970/01/01,1962/02/09,30.20,10.3,113,0.0,1.34,114/4,30.20
2442,新美齊,新美齊股份有限公司,32.52,1970/01/01,2000/11/22,18.25,14.79,114,3.54,0.81,114/4,18.25
2528,皇普,皇普建設股份有限公司,43.6,1970/01/01,1995/03/10,22.50,13.33,114,6.37,1.24,114/4,22.50
2731,雄獅,雄獅旅行社股份有限公司,9.33,1970/01/01,2013/09/24,159.00,8.05,114,9.09,2.99,114/4,159.00
3712,永崴投控,永崴投資控股股份有限公司,24.62,1970/01/01,2018/10/01,19.85,15.11,113,0.0,1.47,114/4,19.85
5225,東科-KY,東科控股股份有限公司,7.91,1970/01/01,2012/11/05,76.60,9.41,114,8.28,1.93,115/1,76.60
5515,建國,建國工程股份有限公司,20.16,1970/01/01,2003/10/06,40.70,8.11,114,9.08,1.56,114/4,40.70
5519,隆大,隆大營建事業股份有限公司,21.92,1970/01/01,2014/02/10,32.55,11.67,114,6.56,1.15,114/4,32.55
5546,永固-KY,永固集團股份有限公司,8.24,1970/01/01,2020/05/20,16.50,12.12,113,0.0,0.73,114/4,16.50
