證券代號,證券名稱,收盤,GVI指標,殖利率,本益比,淨值比,外資持股(%),張數,100張以下比例,100-1000張比例,1000張以上比例,1000張以上人數,毛利率,營業利益率,ROE,稅後淨利率,股利政策(現金/股票),本益比區間
2330,台積電,1385.0,0.62,148.0,22.83,7.19,42.5,63334,,,,,58.98,50.58,34.66,43.29,20.5 / 0,22.8 [12.8-25.1]
2454,聯發科,1145.0,0.7,472.0,17.18,4.35,42.74,7830,,,,,48.1,15.61,25.11,18.19,54.0 / 0,17.2 [16.8-23.2]
2303,聯電,45.0,1.07,633.0,13.31,1.57,40.52,36002,,,,,28.92,18.7,10.96,17.01,2.85 / 0,13.3 [11.0-14.4]
3711,日月光投控,209.0,0.58,253.0,26.97,2.88,30.44,33914,,,,,16.85,7.83,10.86,5.6,5.3 / 0,27.0 [14.3-32.5]
2379,瑞昱,498.0,0.76,512.0,16.75,5.38,47.05,2331,,,,,50.07,10.56,32.48,12.62,25.5 / 0,16.8 [13.9-19.0]
3034,聯詠,389.0,0.91,720.0,13.57,3.72,48.74,2682,,,,,38.0,15.7,27.49,16.93,28.0 / 0,13.6 [12.8-18.7]
2344,華邦電,52.2,0.39,0.0,0.0,2.48,15.06,153645,,,,,30.85,17.01,-0.58,-0.13,0 / 0,N/A
2408,南亞科,140.0,0.3,0.0,0.0,2.76,6.82,134957,,,,,-1.09,5.96,-3.76,-14.06,0 / 0,N/A
3443,創意,1850.0,0.18,86.0,71.93,21.17,29.35,3736,,,,,29.15,12.25,31.2,12.45,16.0 / 0,71.9 [31.3-79.1]
3661,世芯-KY,2990.0,0.33,123.0,41.32,6.39,38.27,2279,,,,,22.73,17.61,16.25,15.15,36.74 / 0,41.3 [26.6-61.2]
2449,京元電子,204.5,0.38,196.0,36.39,5.32,37.49,42360,,,,,35.04,26.82,15.29,33.47,4.0 / 0,36.4 [12.0-41.1]
2356,英業達,40.8,0.93,417.0,16.32,2.08,20.41,12120,,,,,5.28,1.74,14.0,1.25,1.7 / 0,16.3 [12.8-20.7]
2382,廣達,270.0,0.82,481.0,15.55,4.87,25.71,13962,,,,,7.31,3.71,31.98,3.61,13.0 / 0,15.6 [9.6-18.1]
3231,緯創,139.0,1.14,273.0,17.06,2.74,32.68,39878,,,,,6.67,4.78,25.49,1.39,3.8 / 0,17.1 [8.8-19.4]
2357,華碩,573.0,1.13,593.0,12.3,1.65,37.23,4705,,,,,15.27,4.91,13.24,5.04,34.0 / 0,12.3 [9.0-15.4]
2324,仁寶,28.65,1.36,489.0,19.1,0.98,41.3,38787,,,,,5.43,1.43,5.9,0.82,1.4 / 0,19.1 [15.8-25.8]
2353,宏碁,27.95,1.19,608.0,20.4,1.15,20.5,17848,,,,,10.61,2.05,6.41,1.55,1.7 / 0,20.4 [18.8-28.4]
2376,技嘉,239.5,1.01,418.0,14.02,2.89,29.04,5428,,,,,10.42,4.32,24.0,3.86,10.0 / 0,14.0 [10.2-18.6]
2301,光寶科,153.5,0.52,424.0,24.68,4.17,39.47,25557,,,,,22.84,10.43,16.81,8.94,6.51 / 0,24.7 [11.2-31.7]
3017,奇鋐,1240.0,0.49,80.0,33.11,13.2,38.6,13052,,,,,25.4,20.76,45.16,13.2,9.93 / 0,33.1 [9.0-42.3]
2383,台光電,1310.0,0.43,127.0,34.72,10.55,41.45,5345,,,,,29.9,19.84,35.44,15.43,16.58 / 0,34.7 [10.6-40.4]
3037,欣興,160.0,0.45,93.0,77.67,2.66,30.28,34009,,,,,12.88,4.51,3.75,2.54,1.49 / 0,77.7 [33.8-87.1]
2368,金像電,550.0,0.42,109.0,34.72,10.16,34.74,17140,,,,,31.27,26.28,33.98,14.89,6.0 / 0,34.7 [8.8-36.4]
3481,群創,12.1,2.27,826.0,11.31,0.44,15.67,43109,,,,,6.63,-1.69,0.0,4.16,1.0 / 0,11.3 [10.1-14.8]
2409,友達,10.8,2.18,1116.0,14.79,0.55,16.04,55957,,,,,10.81,-2.58,3.73,1.99,1.2 / 0,14.8 [14.2-21.6]
3008,大立光,2100.0,1.21,407.0,12.24,1.54,29.69,457,,,,,53.65,35.44,13.26,37.39,85.5 / 0,12.2 [10.3-16.0]
2317,鴻海,225.0,0.91,258.0,16.78,1.92,26.48,96595,,,,,6.24,3.43,11.82,2.5,5.8 / 0,16.8 [8.1-19.8]
2308,台達電,895.0,0.26,78.0,46.74,9.66,37.7,17307,,,,,33.38,16.5,19.82,9.85,7.0 / 0,46.7 [14.1-56.7]
2313,華通,76.4,0.93,314.0,15.31,2.05,16.27,6396,,,,,17.95,12.53,13.72,7.96,2.4 / 0,15.3 [8.5-18.6]
2345,智邦,907.0,0.93,121.0,22.68,10.22,44.4,6647,,,,,18.62,12.34,57.04,10.46,11.0 / 0,22.7 [10.6-29.5]
2327,國巨,229.0,0.62,218.0,22.95,2.99,23.77,37314,,,,,35.18,22.86,13.18,16.22,5.0 / 0,22.9 [9.3-26.3]
2395,研華,281.5,0.52,298.0,24.2,4.74,22.43,3181,,,,,40.12,15.24,19.91,14.62,8.39 / 0,24.2 [23.5-35.6]
4938,和碩,70.8,1.41,636.0,15.06,0.99,27.45,9769,,,,,3.67,1.25,6.92,1.15,4.5 / 0,15.1 [13.8-19.9]
4958,臻鼎-KY,141.0,1.14,340.0,17.54,1.3,32.24,20267,,,,,19.13,9.56,8.22,4.4,4.8 / 0,17.5 [10.0-25.1]
3702,大聯大,63.8,1.19,502.0,12.99,1.42,39.47,36310,,,,,3.79,2.19,11.14,0.91,3.2 / 0,13.0 [10.1-14.6]
8046,南電,250.0,0.3,40.0,174.83,3.64,7.48,11913,,,,,6.14,5.66,2.06,2.5,1.0 / 0,174.8 [52.8-210.5]
2881,富邦金,88.7,1.22,467.0,10.6,1.55,21.29,75934,,,,,52.45,62.15,13.55,12.03,4.15 / 0,10.6 [8.0-11.3]
2882,國泰金,63.6,1.31,550.0,11.52,1.24,33.74,24882,,,,,45.83,72.47,10.22,7.23,3.5 / 0,11.5 [8.5-12.2]
2891,中信金,43.4,1.07,530.0,11.6,1.85,40.81,37763,,,,,68.38,39.04,14.7,13.98,2.3 / 0,11.6 [8.5-11.7]
2886,兆豐金,39.5,1.01,405.0,17.32,1.53,34.13,20466,,,,,0.0,56.3,9.06,45.05,1.6 / 0,17.3 [15.0-18.9]
